Idade,Faixa de idade,Genero,Cor/Raça/Etnia,PDC,Estado_onde_mora,Uf,Regiao_onde_mora,Mudou_de_estado,Regiao_de_Origem,Nivel_de_Ensino,Area_de_Formacao,Situacao_atual_de_trabalho,Setor,Num_func_empresa_que_trabalha,Cargo_Atual,Nível,Faixa_Salarial,Salario_Minimo,Salario_Maximo,Salario_Medio,Tempo_de_experiencia_na_area_de_dados,Atual_forma_de_trabalho,Papeis/cargos_do_time/chapter_de_dados,Analytics_Engineer,Engenharia_de_Dados/Data_Engineer,Analista_de_Dados/Data_Analyst,Cientista_de_Dados/Data_Scientist,Database_Administrator/DBA,Analista_de_Business_Intelligence/BI,Arquiteto_de_Dados/Data_Architect,Data_Product_Manager/DPM,Business_Analyst,SQL,R,Python,C/C++/C#,NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,Rust,PHP,JavaScript,Não utilizo nenhuma linguagem,Azure (Microsoft),Amazon Web Services (AWS),Google Cloud (GCP),Oracle Cloud,IBM,Servidores On Premise/Não utilizamos Cloud,Cloud Própria,Microsoft PowerBI,Qlik View/Qlik Sense,Tableau,Metabase,Superset,Redash,Looker,Looker Studio(Google Data Studio),Amazon Quicksight,Mode,Alteryx,MicroStrategy,IBM Analytics/Cognos,SAP Business Objects/SAP Analytics,Oracle Business Intelligence,Salesforce/Einstein Analytics,Birst,SAS Visual Analytics,Grafana,TIBCO Spotfire,Pentaho,Fazemos todas as análises utilizando apenas Excel ou planilhas do google,Não utilizo nenhuma ferramenta de BI no trabalho,Ano,Nome_Estado,IDHM,IDHM_L,IDHM_E,IDHM_R,IDHMAD,IDHMAD_L,IDHMAD_E,IDHMAD_R,RDPC,GINI,THEIL,PIB_2021_OR,Partic_Pib_Brasil
23,22-24,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Indústria,de 501 a 1.000,Analista de Inteligência de Mercado/Market Intelligence,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
61,55+,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
52,50-54,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 1 a 5,,,de R$ 20.001/mês a R$ 25.000/mês,20001.0,25000.0,22500.5,Mais de 10 anos,Modelo 100% remoto,Analista de Dados/Data Analyst,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
55,55+,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Setor Imobiliário/ Construção Civil,de 6 a 10,,,Acima de R$ 40.001/mês,40001.0,,,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Cientista de Dados/Data Scientist, Machine Learning Engineer/AI Engineer",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
30,30-34,Masculino,Branca,Não,Paraná (PR),PR,Sul,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Agronegócios,de 1.001 a 3.000,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,Menos de 1 ano,Modelo 100% presencial,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Paraná,0.769,0.785,0.78,0.744,0.628,0.718,0.676,0.51,817.79,0.475,0.382,549973.0,0.061
34,30-34,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área da Saúde,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
22,22-24,Feminino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Outra opção,Estagiário,Telecomunicação,de 501 a 1.000,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1001.0,2000.0,1500.5,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
27,25-29,Feminino,Parda,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Área de Consultoria,de 101 a 500,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1001.0,2000.0,1500.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Minas Gerais,0.774,0.846,0.762,0.718,0.625,0.777,0.656,0.478,699.24,0.487,0.423,857593.0,0.095
31,30-34,Masculino,Parda,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 11 a 50,Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021.0,Rio de Janeiro,0.762,0.769,0.758,0.759,0.592,0.696,0.681,0.438,901.42,0.565,0.549,949301.0,0.105
25,25-29,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Negócios/Business Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,de 4 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
27,25-29,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,0.0,Rio de Janeiro (RJ),Mestrado,Outras Engenharias,Empregado (CLT),Educação,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
24,22-24,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Finanças ou Bancos,de 11 a 50,Analista de Negócios/Business Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1001.0,2000.0,1500.5,Menos de 1 ano,Modelo 100% presencial,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
28,25-29,Masculino,Parda,Não,Bahia (BA),BA,Nordeste,0.0,Pará (PA),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,de 101 a 500,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,Bahia,0.691,0.772,0.659,0.648,0.507,0.68,0.502,0.382,451.59,0.546,0.536,352618.0,0.039
53,50-54,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Setor Público,Acima de 3.000,,,de R$ 16.001/mês a R$ 20.000/mês,16001.0,20000.0,18000.5,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Cientista de Dados/Data Scientist, Business Analyst, Analista de Business Intelligence/BI, Engenharia de Dados/Data Engineer, Arquiteto de Dados/Data Architect, Database Administrator/DBA, Analista de Dados/Data Analyst",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
31,30-34,Masculino,Parda,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,de 101 a 500,,,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,de 4 a 6 anos,Modelo 100% remoto,"Engenharia de Dados/Data Engineer, Cientista de Dados/Data Scientist, Analista de Dados/Data Analyst, Database Administrator/DBA, Técnico de Dados",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,Minas Gerais,0.774,0.846,0.762,0.718,0.625,0.777,0.656,0.478,699.24,0.487,0.423,857593.0,0.095
27,25-29,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (pós-graduação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
28,25-29,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,de 4 a 6 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
49,45-49,Feminino,Parda,Não,Ceará (CE),CE,Nordeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor de Energia,Acima de 3.000,,,de R$ 16.001/mês a R$ 20.000/mês,16001.0,20000.0,18000.5,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,"Analista de Business Intelligence/BI, Database Administrator/DBA, Analista de Dados/Data Analyst",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,Ceará,0.734,0.784,0.766,0.658,0.543,0.702,0.597,0.383,480.55,0.549,0.558,194885.0,0.022
51,50-54,Masculino,Preta,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,,,de R$ 20.001/mês a R$ 25.000/mês,20001.0,25000.0,22500.5,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Analista de Business Intelligence/BI, Cientista de Dados/Data Scientist, Engenharia de Dados/Data Engineer, Analista de Dados/Data Analyst, Arquiteto de Dados/Data Architect",0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
31,30-34,Masculino,Branca,Não,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,Rio Grande do Sul,0.771,0.797,0.75,0.767,0.642,0.731,0.674,0.536,944.53,0.468,0.38,581284.0,0.065
35,35-39,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,de 6 a 10,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,de 7 a 10 anos,Modelo 100% presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,Rio de Janeiro,0.762,0.769,0.758,0.759,0.592,0.696,0.681,0.438,901.42,0.565,0.549,949301.0,0.105
48,45-49,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
28,25-29,Masculino,Parda,Não,Espírito Santo (ES),ES,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 6 a 10,Cientista de Dados/Data Scientist,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Espírito Santo,0.771,0.864,0.742,0.715,0.611,0.798,0.634,0.45,684.63,0.508,0.452,186337.0,0.021
27,25-29,Feminino,Parda,Não,,,,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Acima de 3.000,,,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,de 4 a 6 anos,Modelo 100% remoto,"Cientista de Dados/Data Scientist, Machine Learning Engineer/AI Engineer, Engenharia de Dados/Data Engineer",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17-21,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 1 a 5,Cientista de Dados/Data Scientist,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1001.0,2000.0,1500.5,Menos de 1 ano,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
41,40-44,Masculino,Parda,Não,Santa Catarina (SC),SC,Sul,0.0,Bahia (BA),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,Santa Catarina,0.792,0.827,0.79,0.759,0.67,0.762,0.698,0.565,901.2,0.424,0.302,428571.0,0.048
22,22-24,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,de 51 a 100,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
27,25-29,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,de 4 a 6 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
30,30-34,Feminino,Branca,Sim,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,,Empregado (CLT),Finanças ou Bancos,de 11 a 50,Analista de BI/BI Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
41,40-44,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,,,de R$ 25.001/mês a R$ 30.000/mês,25001.0,30000.0,27500.5,Mais de 10 anos,Modelo 100% remoto,"Engenharia de Dados/Data Engineer, Machine Learning Engineer/AI Engineer, Data Product Manager/DPM, Analytics Engineer, Analista de Business Intelligence/BI, Arquiteto de Dados/Data Architect, Analista de Dados/Data Analyst, Cientista de Dados/Data Scientist",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,São Paulo,0.806,0.81,0.839,0.771,0.654,0.744,0.752,0.5,971.82,0.533,0.495,2719751.0,0.302
27,25-29,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Mestrado,Química / Física,Empregado (CLT),Área de Consultoria,de 51 a 100,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2001.0,3000.0,2500.5,Menos de 1 ano,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Rio de Janeiro,0.762,0.769,0.758,0.759,0.592,0.696,0.681,0.438,901.42,0.565,0.549,949301.0,0.105
28,25-29,Masculino,Branca,Não,Paraíba (PB),PB,Nordeste,1.0,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,Menos de 1 ano,Modelo 100% remoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,Paraíba,0.698,0.779,0.669,0.653,0.514,0.694,0.506,0.386,465.74,0.562,0.563,77470.0,0.009
